posture,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ
Prone,0.02,-0.18,-1,6.47,12.08,8.85,28.8,38.11,43.3
Prone,-0.05,-0.09,-1.09,2.38,14.1,6.23,28.64,30.69,49.52
Prone,-0.05,-0.09,-1.08,2.38,14.95,8.85,28.64,30.69,49.52
Prone,-0.05,-0.11,-1.07,-5.8,14.95,8.85,28.64,30.69,49.52
Prone,-0.06,-0.11,-1.05,-13.55,11.35,11.6,28.64,30.69,49.52
Prone,0.03,-0.05,-0.99,-1.83,7.63,9.58,28.55,30.3,48.46
Prone,-0.04,-0.09,-1.02,1.59,9.77,-3.48,27.99,30.09,49.6
Prone,-0.09,-0.12,-1.03,3.23,12.57,-4.82,28.26,30.2,50.05
Prone,-0.12,-0.14,-1.02,2.38,8.3,0.18,28.26,30.2,50.05
Prone,0.02,-0.15,-1.03,-10.5,-15.26,31.8,30.75,27.91,48.33
Prone,0.04,-0.13,-1.04,-3.85,-23.62,36.25,34.58,25.89,45.54
Prone,0.05,-0.13,-1.04,-3.3,-21.36,37.66,34.58,25.89,45.54
Prone,0.06,-0.13,-1.05,-1.71,-17.03,39.92,34.58,25.89,45.54
Prone,0.07,-0.15,-1.03,4.82,-8.79,48.58,34.58,25.89,45.54
Prone,0.03,-0.15,-0.97,7.14,0.61,48.16,35.22,23.33,45.4
Prone,0.04,-0.15,-0.94,6.9,6.96,44.92,35.22,23.33,45.4
Prone,0.05,-0.13,-0.94,5.13,11.54,41.93,35.22,23.33,45.4
Prone,0.06,-0.16,-0.98,8.42,1.71,38.88,37.9,19.65,42.8
Prone,0.07,-0.15,-0.98,7.63,-0.24,40.34,38.6,17.61,42.1
Prone,0.04,-0.09,-1.04,2.87,6.35,43.95,41.06,12.59,41.55
Prone,0.05,-0.11,-1.03,5.43,11.35,43.95,41.06,12.59,41.55
Prone,0.1,-0.11,-1,7.69,19.9,47.18,41.52,9.67,40.89
Prone,0.07,-0.1,-0.98,2.38,2.56,56.27,41.59,6.63,40.67
Prone,0.04,-0.1,-0.98,0.73,-3.85,55.11,41.59,6.63,40.67
Prone,0.02,-0.07,-1.04,-4.27,-1.53,40.71,42.47,3.31,37.88
Prone,0.04,-0.09,-0.97,1.34,5.19,29.17,42.13,1.01,37.34
Prone,0.07,-0.1,-1,-2.81,-9.77,19.9,41.89,-2.87,36.45
Prone,0.07,-0.12,-1,-4.33,-7.26,17.03,42.57,-3.65,36.1
Prone,0.08,-0.11,-1.01,-4.27,-1.46,19.17,42.57,-3.65,36.1
Prone,0.12,-0.13,-0.98,-2.75,-4.76,18.49,39.89,-5.97,35.13
Prone,0.09,-0.09,-1.03,-6.65,-8.48,23.44,39.89,-5.97,35.13
Prone,0.13,-0.09,-1.03,12.63,-2.01,13.98,38.85,-7.74,34.03
Prone,0.13,-0.08,-1.02,14.77,-2.14,15.87,38.85,-7.74,34.03
Prone,0.13,-0.08,-1.03,15.5,-2.75,16.78,38.93,-8.25,34.95
Prone,0.07,-0.06,-0.97,17.27,-2.2,11.6,37.98,-9.16,33.8
Prone,0.08,-0.07,-0.95,14.47,-1.89,10.13,37.22,-8.98,32.68
Prone,0.1,-0.07,-0.96,10.07,-0.18,9.28,37.22,-8.98,32.68
Prone,0.1,0.01,-1.08,-3.91,8.73,8.06,36.22,-9.44,34.35
Prone,0.16,-0.02,-0.95,-26.55,-8.18,5.49,35.84,-8.74,33.62
Prone,0.12,-0.06,-1.02,-29.72,-11.66,17.15,35.56,-8.19,35.33
Prone,0.15,-0.07,-1,-33.39,-17.64,21,35.56,-8.19,35.33
Prone,0.15,-0.15,-1,-25.76,-1.59,19.84,35.16,-7.92,36.88
Prone,0.16,-0.21,-1.02,-11.17,-0.31,25.33,33.37,-7.46,37.44
Prone,0.13,-0.18,-1.02,-1.28,0.18,33.08,33.37,-7.46,37.44
Prone,0.15,-0.19,-1.07,11.9,-0.49,41.75,33.37,-7.46,37.44
Prone,0.16,-0.19,-1.05,33.75,-10.86,54.2,33.37,-7.46,37.44
Prone,0.16,-0.13,-1.01,37.78,-13.12,54.2,32.08,-8.53,35.35
Prone,0.17,-0.08,-0.98,39,-11.84,52.37,32.08,-8.53,35.35
Prone,0.16,-0.04,-0.96,38.27,-8.54,48.16,32.08,-8.53,35.35
Prone,0.16,-0.01,-0.94,36.68,-3.97,42.54,32.08,-8.53,35.35
Prone,0.16,0.01,-0.93,34.67,0.85,36.44,32.08,-8.53,35.35
Prone,0.16,0.02,-0.93,32.78,4.64,30.15,32.08,-8.53,35.35
Prone,0.15,-0.01,-0.95,21.91,8.12,13.24,30.53,-9.2,37.11
Prone,0.15,-0.02,-0.97,16.97,8.36,10.56,30.53,-9.2,37.11
Prone,0.15,-0.02,-0.98,14.1,7.87,9.89,30.53,-9.2,37.11
Prone,0.14,-0.05,-0.97,14.65,6.35,8.3,30.44,-9.22,36.93
Prone,0.14,-0.06,-0.97,12.02,7.26,7.63,30.44,-9.22,36.93
Prone,0.14,-0.07,-0.97,7.51,8.06,7.39,30.44,-9.22,36.93
Prone,0.14,-0.08,-0.98,3.23,8.12,8.3,30.44,-9.22,36.93
Prone,0.15,-0.09,-0.99,-0.31,7.08,9.46,30.44,-9.22,36.93
Prone,0.15,-0.09,-1.01,0.43,3.91,18.92,30.19,-10.44,37.78
Prone,0.15,-0.06,-1.01,7.39,3.11,23.93,30.19,-10.44,37.78
Prone,0.15,-0.04,-1,16.24,2.38,27.47,30.19,-10.44,37.78
Prone,0.15,-0.04,-0.98,17.27,4.7,24.54,29.32,-11.01,38.26
Prone,0.14,-0.06,-0.99,3.05,4.88,23.86,29.32,-11.01,38.26
Prone,0.16,-0.09,-0.99,1.77,3.17,24.41,28.69,-11.8,39.66
Prone,0.15,-0.13,-0.99,0.06,3.72,28.69,28.69,-11.8,39.66
Prone,0.17,-0.16,-1.01,0.92,4.88,33.69,28.69,-11.8,39.66
Prone,0.13,-0.16,-1.03,3.11,3.3,49.93,28.69,-11.8,39.66
Prone,0.14,-0.13,-1.02,6.47,-0.73,66.53,26.64,-11.85,41.22
Prone,0.14,-0.08,-0.99,15.63,-4.33,72.33,26.64,-11.85,41.22
Prone,0.15,-0.06,-0.98,18.49,-3.54,74.65,26.64,-11.85,41.22
Prone,0.15,-0.05,-0.98,19.23,-1.22,75.32,26.64,-11.85,41.22
Prone,0.11,0.07,-1,30.58,8.67,78.55,24.29,-12.74,43.23
Prone,0.11,0.11,-1.01,15.81,3.85,71.11,21.92,-13.44,44.97
Prone,0.1,0.13,-1,11.6,2.56,70.07,21.92,-13.44,44.97
Prone,0.1,0.15,-0.99,6.53,2.2,61.71,21.92,-13.44,44.97
Prone,0.1,0.16,-0.98,5.62,3.17,58.65,19.31,-13.16,46.22
Prone,0.11,0.18,-0.99,-0.73,10.74,41.93,19.31,-13.16,46.22
Prone,0.1,0.17,-1.01,-3.78,13.98,29.48,19.31,-13.16,46.22
Prone,0.09,0.12,-1.03,-9.34,12.94,25.09,18.31,-13.17,48.4
Prone,0.09,0.09,-1.04,-11.54,10.01,22.71,18.31,-13.17,48.4
Prone,0.09,0.08,-1.04,-13.06,6.04,22.95,18.31,-13.17,48.4
Prone,0.09,0.06,-1.02,-6.65,-6.59,18.98,16.71,-12.65,48.38
Prone,0.1,0.05,-1.03,-10.13,-8.85,17.82,16.71,-12.65,48.38
Prone,0.11,0.04,-1.04,-13.24,-11.47,17.4,16.76,-11.85,49.1
Prone,0.12,0.01,-0.95,-5.37,-27.34,34.42,16.83,-11.43,48.89
Prone,0.14,0.02,-0.95,-7.26,-24.6,35.28,16.83,-11.43,48.89
Prone,0.15,0.06,-1.02,34.61,-5.8,38.39,17.19,-11.73,49.45
Prone,0.14,0.04,-1.03,39.79,-6.77,38.39,17.19,-11.73,49.45
Prone,0.2,0.05,-1.02,0.85,-25.63,50.66,17.18,-12.5,47.58
Prone,0.15,0.07,-1,0.85,-25.63,50.66,17.18,-12.5,47.58
Prone,0.18,0.15,-0.95,32.47,-22.4,66.96,16.85,-12.93,48.19
Prone,0.19,0.18,-0.96,15.87,-18.13,61.83,16.85,-12.93,48.19
Prone,0.19,0.2,-0.95,-1.77,-18.07,50.84,16.46,-13.99,47.18
Prone,0.19,0.2,-0.94,-8.36,-17.94,45.47,16.46,-13.99,47.18
Prone,0.19,0.2,-0.93,-13.37,-15.93,41.02,16.46,-13.99,47.18
Prone,0.2,0.2,-0.93,-17.52,-12.08,36.74,16.46,-13.99,47.18
Prone,0.21,0.19,-0.92,-17.52,-12.08,32.78,16.46,-13.99,47.18
Prone,0.21,0.18,-0.92,-20.51,-7.32,32.78,16.59,-13.37,46.97
Prone,0.21,0.16,-0.94,-22.03,-2.81,29.6,16.59,-13.37,46.97
Prone,0.21,0.14,-0.95,-22.89,0.43,26.31,16.59,-13.37,46.97
Prone,0.22,0.08,-0.96,-24.54,2.99,21.55,16.59,-13.37,46.97
Prone,0.22,0.08,-0.97,-26.31,3.97,22.4,16.59,-13.37,46.97
Prone,0.22,0.08,-0.99,-25.21,5.8,25.39,15.14,-13.23,48.46
Prone,0.21,0.08,-0.99,-20.02,5.37,26.37,15.14,-13.23,48.46
Prone,0.21,0.09,-0.96,-5.25,2.38,30.15,15.44,-13.05,48.32
Prone,0.2,0.13,-0.98,-1.95,11.96,27.77,15.44,-13.05,48.32
Prone,0.19,0.12,-1,-3.17,13.24,21.42,14.37,-13.17,49.4
Prone,0.19,0.11,-1,-6.16,11.29,18.07,14.37,-13.17,49.4
Prone,0.19,0.1,-1,-9.7,8.67,16.05,14.37,-13.17,49.4
Prone,0.17,0.09,-0.99,-6.04,12.94,14.04,14.42,-13.06,49.83
Prone,0.14,0.07,-0.97,-5.49,5.68,22.64,13.12,-11.6,51.18
Prone,0.15,0.02,-1,-18.31,12.76,18.98,13.24,-11.57,51.18
Prone,0.16,0.03,-1.03,-7.39,8.67,28.63,12.67,-10.38,53.15
Prone,0.11,0.02,-0.99,-16.72,8.12,23.5,11.01,-9.22,53.77
Prone,0.09,0.01,-1.02,-22.34,10.74,19.47,11,-8.34,56.02
Prone,0.09,0.02,-1,3.6,6.47,-7.87,10.62,-7.6,56.45
Prone,0.1,-0.04,-1.01,-5.74,5.74,-12.51,10.31,-7.39,56.09
Prone,0.1,-0.06,-1.02,-11.05,3.78,-11.41,10.31,-7.39,56.09
Prone,0.07,0.03,-1.03,-1.4,1.1,-27.65,10.27,-7.89,56.3
Prone,0.05,0.22,-1.02,48.58,1.22,-30.03,11.05,-8.64,56.07
Prone,0.02,0.26,-1.03,69.95,5.25,-33.45,11.05,-8.64,56.07
Prone,0.02,0.16,-1.03,87.1,9.4,-67.81,11.05,-8.64,56.07
Prone,0.07,-0.11,-1.04,-7.2,-6.47,-81.3,10.82,-11.08,55.26
Prone,0.08,-0.12,-1.03,-39.37,-14.22,-80.14,10.82,-11.08,55.26
Prone,0.1,-0.11,-1.02,-53.47,-21,-74.52,10.82,-11.08,55.26
Prone,0.1,0.09,-0.98,42.18,-14.71,-49.56,11.91,-10.69,54.33
Prone,0.09,0.08,-0.98,63.72,-9.77,-51.51,11.91,-10.69,54.33
Prone,0.12,-0.04,-0.97,56.82,-8.91,-65.86,11.91,-10.69,54.33
Prone,0.12,-0.09,-0.97,-24.84,-15.56,-66.22,14.04,-11.96,53.34
Prone,0.13,-0.06,-0.98,-24.84,-17.88,-61.52,14.04,-11.96,53.34
Prone,0.14,-0.01,-0.98,-33.2,-17.88,-61.52,14.04,-11.96,53.34
Prone,0.15,0.06,-0.97,15.08,-10.8,-56.76,14.04,-11.96,53.28
Prone,0.11,0.08,-1.01,47.24,0.92,-59.27,15.45,-11.96,53.28
Prone,0.13,0.07,-1.01,43.76,-1.28,-62.81,15.45,-11.96,53.28
Prone,0.12,0.04,-0.98,20.08,-7.2,-69.46,15.45,-11.96,53.28
Prone,0.14,0.09,-0.97,-7.57,-6.9,-70.13,17.19,-13.06,51.67
Prone,0.15,0.14,-0.99,-10.99,-4.33,-68.73,17.19,-13.06,51.67
Prone,0.15,0.18,-1,-3.85,-1.53,-69.64,17.19,-13.06,51.67
Prone,0.15,0.21,-1.01,10.25,0.18,-73,17.19,-13.06,51.67
Prone,0.14,0.21,-1.01,26.61,1.53,-77.21,17.19,-13.06,51.67
Prone,0.12,0.23,-1.01,26.61,1.53,-77.21,18.21,-13.59,50.39
Prone,0.1,0.26,-1.01,40.41,2.75,-82.03,18.21,-13.59,50.39
Prone,0.05,0.24,-1,48.89,4.21,-87.16,18.21,-13.59,50.39
Prone,0.06,0.09,-0.96,33.75,-1.83,-105.59,18.21,-13.59,50.39
Prone,0.14,-0.32,-1.08,-51.57,-11.47,-112.73,21.89,-14.23,49.12
Prone,0.18,-0.26,-1.06,-49.5,-18.31,-93.51,21.89,-14.23,49.12
Prone,0.21,-0.17,-1.01,-32.17,-23.62,-76.66,21.89,-14.23,49.12
Prone,0.21,-0.06,-0.98,-11.84,-19.78,-63.54,21.89,-14.23,49.12
Prone,0.16,0.06,-1.03,55.79,4.7,-70.25,24.35,-14.64,48.34
Prone,0.18,0.07,-0.97,6.77,-5.98,-84.59,24.35,-14.64,48.34
Prone,0.19,0.03,-1.04,-62.87,-5.74,-86.3,27.39,-14.73,47.46
Prone,0.21,0.04,-1.06,-54.14,-6.35,-82.52,27.39,-14.73,47.46
Prone,0.19,0.03,-1.07,-31.92,-6.23,-78.86,27.39,-14.73,47.46
Prone,0.18,-0.01,-1.07,-7.32,-7.02,-75.44,27.39,-14.73,47.46
Prone,0.18,-0.06,-1.05,9.64,-9.09,-71.84,30.55,-13.04,47.29
Prone,0.18,-0.1,-1.03,14.65,-11.66,-68.12,30.55,-13.04,47.29
Prone,0.19,-0.11,-1.02,8.3,-13.37,-62.68,30.55,-13.04,47.29
Prone,0.19,-0.09,-1.01,-3.54,-13.92,-56.03,30.55,-13.04,47.29
Prone,0.22,0,-1.01,-9.03,-14.77,-42.11,32.96,-11.3,45.31
Prone,0.23,0.05,-1.01,-9.03,-14.77,-41.56,32.96,-11.3,45.31
Prone,0.23,0.09,-1,5.07,-11.9,-41.56,32.96,-11.3,45.31
Prone,0.23,0.1,-1.01,42.42,0.31,-52.73,32.96,-11.3,45.31
Prone,0.22,0.06,-1.03,42.72,3.78,-57.37,34.06,-10.88,42.91
Prone,0.21,-0.04,-1.05,22.58,3.11,-66.71,34.06,-10.88,42.91
Prone,0.24,-0.02,-1.06,-13.61,-11.96,-62.99,34.06,-10.88,42.91
Prone,0.25,0,-1.06,-8.91,-15.81,-60.24,36.43,-8.51,40.23
Prone,0.24,0.01,-1.05,3.11,-18.92,-58.35,36.43,-8.51,40.23
Prone,0.24,0.01,-1.04,17.88,-21.67,-57.56,36.43,-8.51,40.23
Prone,0.24,0.01,-1.02,30.88,-22.95,-57.98,36.43,-8.51,40.23
Prone,0.26,-0.01,-0.99,20.02,-23.38,-59.81,37.29,-6.29,38.37
Prone,0.26,0.02,-1,13.79,-22.64,-57.86,37.29,-6.29,38.37
Prone,0.26,0.04,-1,12.63,-23.19,-56.27,37.29,-6.29,38.37
Prone,0.27,0.09,-0.93,25.57,-25.45,-62.44,37.89,-3.25,35.55
Prone,0.24,0.1,-0.89,30.09,-22.52,-67.14,37.89,-3.25,35.55
Prone,0.22,0.08,-0.86,33.75,-17.33,-72.57,37.89,-3.25,35.55
Prone,0.18,0.05,-0.85,33.51,-11.6,-78.37,37.89,-3.25,35.55
Prone,0.18,-0.01,-0.88,27.53,-7.69,-81.91,37.89,-3.25,35.55
Prone,0.22,-0.01,-0.88,18.68,-6.59,-81.85,37.89,-3.25,35.55
Prone,0.32,-0.05,-0.92,18.68,-3.11,-83.13,38.56,0.82,32.98
Prone,0.34,-0.08,-0.96,10.44,-3.11,-83.13,38.56,0.82,32.98
Prone,0.3,-0.07,-0.99,3.97,0.61,-81.48,38.56,0.82,32.98
Prone,0.29,-0.06,-1.02,1.89,1.22,-75.87,38.56,0.82,32.98
Prone,0.31,-0.03,-1.05,5.8,-0.98,-68.24,38.56,0.82,32.98
Prone,0.28,-0.01,-1.05,16.24,-4.64,-60.36,38.56,0.82,32.98
Prone,0.27,-0.06,-1,40.04,-16.91,-55.3,38.22,4.17,31.9
Prone,0.32,-0.16,-0.93,26.73,-25.63,-61.4,38.22,4.17,31.9
Prone,0.34,-0.16,-0.93,6.65,-23.74,-62.26,38.22,4.17,31.9
Prone,0.32,-0.07,-0.97,-21.42,-15.5,-49.62,37.95,6.96,30.47
Prone,0.31,-0.03,-1,-16.85,-15.69,-41.26,37.95,6.96,30.47
Prone,0.33,-0.01,-1,-2.01,-20.08,-35.89,37.95,6.96,30.47
Prone,0.33,0,-0.96,16.3,-25.51,-33.63,37.95,6.96,30.47
Prone,0.32,0.02,-0.91,31.37,-28.75,-33.08,37.95,6.96,30.47
Prone,0.3,0.03,-0.86,40.77,-27.89,-33.39,37.95,6.96,30.47
Prone,0.31,0,-0.81,42.11,-16.6,-38.64,37.39,9,29.24
Prone,0.31,-0.01,-0.81,37.29,-7.32,-42.24,37.39,9,29.24
Prone,0.33,-0.03,-0.83,32.84,3.6,-44.43,37.39,9,29.24
Prone,0.37,-0.06,-0.88,30.03,15.56,-44.92,37.39,9,29.24
Prone,0.36,-0.06,-0.93,27.59,26.31,-43.4,37.39,9,29.24
Prone,0.32,-0.04,-0.98,27.47,32.47,-39.25,36.79,10.64,30
Prone,0.31,0,-1.01,28.75,32.1,-33.94,36.79,10.64,30
Prone,0.31,0.05,-1.03,31.92,27.1,-27.59,36.79,10.64,30
Prone,0.3,0.09,-1.03,36.13,19.17,-23.19,36.79,10.64,30
Prone,0.28,0.13,-1.01,39.43,10.62,-22.52,36.79,10.64,30
Prone,0.28,0.12,-0.93,38.88,-2.69,-28.32,36.25,11.69,28.74
Prone,0.3,0.07,-0.9,30.58,-4.03,-34.85,36.25,11.69,28.74
Prone,0.33,0.03,-0.9,16.48,-0.18,-41.69,36.25,11.69,28.74
Prone,0.32,0.01,-0.92,1.34,6.47,-45.65,36.25,11.69,28.74
Prone,0.29,0.02,-0.94,-9.64,12.08,-44.56,36.25,11.69,28.74
Prone,0.27,0.08,-0.94,4.15,6.29,-29.3,35.41,13.2,29.66
Prone,0.29,0.08,-0.88,11.23,6.23,-31.31,35.41,13.2,29.66
Prone,0.28,0.07,-0.88,5.86,11.11,-34.61,35.28,14.67,31.1
Prone,0.28,0.05,-0.91,0.61,15.5,-37.54,35.28,14.67,31.1
Prone,0.27,0.05,-0.93,-2.08,19.04,-38.82,35.28,14.67,31.1
Prone,0.27,0.05,-0.96,7.45,16.17,-35.28,35.28,14.67,31.1
Prone,0.28,0.05,-0.95,10.56,14.83,-34.24,34.89,16.59,29.98
Prone,0.26,0.03,-0.92,5.55,16.3,-36.32,34.89,16.59,29.98
Prone,0.25,0.02,-0.92,0.85,17.52,-38.02,34.89,16.59,29.98
Prone,0.24,0.02,-0.92,-2.93,18.98,-40.34,34.89,16.59,29.98
Prone,0.3,0.06,-0.95,-2.87,23.01,-50.54,34.83,18.01,30.99
Prone,0.24,0.08,-0.96,17.33,33.39,-52.73,34.83,18.01,30.99
Prone,0.23,0.07,-0.95,25.63,34,-53.89,34.83,18.01,30.99
Prone,0.24,0.02,-0.95,31.07,40.65,-58.84,34.55,20.94,31.73
Prone,0.22,0.01,-0.97,25.7,45.29,-60.06,34.55,20.94,31.73
Prone,0.21,-0.01,-1.01,6.9,47.67,-58.96,34.55,20.94,31.73
Prone,0.21,-0.01,-1.03,-2.38,46.14,-57.25,34.55,20.94,31.73
Prone,0.22,0,-1.05,-8.97,43.4,-54.32,34.27,23.32,33.42
Prone,0.21,0.01,-1.06,-11.72,39.55,-50.29,34.27,23.32,33.42
Prone,0.19,0.03,-1.05,-10.25,33.94,-46.33,34.27,23.32,33.42
Prone,0.18,0.01,-1.04,-0.12,21.73,-41.81,34.27,23.32,33.42
Prone,0.19,-0.06,-1.05,2.75,12.94,-37.72,33.52,25.9,33.89
Prone,0.19,-0.08,-1.03,-6.84,3.48,-23.38,33.52,25.9,33.89
Prone,0.19,-0.05,-1.01,-8.36,1.59,-18.68,32.46,27.42,34.53
Prone,0.19,-0.01,-0.95,21.24,1.83,-20.69,32.46,27.42,34.53
Prone,0.18,-0.03,-0.93,37.96,7.32,-21.61,32.46,27.42,34.53
Prone,0.18,0,-0.94,35.03,13.06,-18.01,32.46,27.42,34.53
Prone,0.17,0.01,-0.95,35.71,25.21,-21.3,32.46,27.42,34.53
Prone,0.17,0.01,-0.97,35.71,25.21,-21.3,31.74,27.89,37.68
Prone,0.16,0,-1.03,15.44,21.36,-27.83,31.74,27.89,37.68
Prone,0.14,-0.04,-1.02,18.74,16.54,-25.21,31.01,28.7,37.01
Prone,0.15,0,-1.01,5.55,13.55,-12.88,31.01,28.7,37.01
Prone,0.13,0.04,-0.99,0.98,12.76,-12.7,31.01,28.7,40.14
Prone,0.13,0.03,-0.95,-4.58,15.32,-16.72,30.05,29.05,38.24
Prone,0.13,0.03,-0.94,-7.02,19.35,-18.07,30.05,29.05,38.24
Prone,0.12,0.03,-0.95,-10.25,24.41,-18.92,30.05,29.05,38.24
Prone,0.12,0.03,-0.97,-13.06,29.17,-19.23,30.05,29.05,38.24
Prone,0.09,0,-0.99,-6.53,32.47,-35.89,27.81,31.74,37.72
Prone,0.01,-0.02,-1.04,-24.48,31.31,-36.93,26.64,33.69,39.98
Prone,0,-0.01,-1.04,-27.4,25.57,-36.56,26.64,33.69,39.98
Prone,0.01,-0.03,-1.05,-18.49,10.07,-42.24,25.2,36.12,40.66
Prone,0.01,-0.03,-1.04,-10.86,6.29,-42.79,25.2,36.12,40.66
Prone,-0.05,-0.02,-1.06,-0.98,17.7,-27.34,20.13,38.1,43.29
Prone,-0.04,-0.03,-1.08,14.65,-10.07,-41.93,18.74,38.32,43.85
Prone,-0.1,0.02,-1.06,2.14,16.85,-44.25,11.84,38.59,45.96
Prone,-0.1,0.03,-1.07,4.82,16.17,-45.96,11.84,38.59,45.96
Prone,-0.08,0.03,-1.06,8.91,13.18,-48.1,11.84,38.59,45.96
Prone,-0.06,0,-0.95,12.08,-6.16,-66.22,10.1,37.48,46.59
Prone,-0.06,-0.01,-0.97,-11.47,-15.99,-80.2,6.42,35.91,49.6
Prone,-0.06,0.02,-1.03,-10.07,-19.71,-96.68,6.42,35.91,49.6
Prone,0.08,-0.08,-1.04,-1.53,-25.45,-93.08,5.03,36.51,50.28
Prone,0.13,-0.09,-1.04,3.66,-17.21,-79.65,3,35.79,49.28
Prone,0.1,-0.06,-0.96,8.67,4.58,-53.41,2.11,35.53,51.01
Prone,0.07,-0.04,-0.96,8.67,11.11,-47.97,2.11,35.53,51.01
Prone,-0.04,0.02,-0.96,-4.46,22.83,-44.74,2.11,35.53,51.01
Prone,0.03,-0.03,-1.08,-22.34,-1.4,-66.96,0.18,35.16,49.83
Prone,0.03,-0.03,-1.09,-19.17,-8.61,-66.77,0.18,35.16,49.83
Prone,0,-0.01,-0.96,5.86,-16.3,-65.37,-1.59,35.27,50.54
Prone,-0.01,-0.02,-0.94,4.82,-12.88,-64.09,-2.64,35.13,51.72
Prone,0.06,-0.06,-0.93,8.48,-6.23,-57.86,-3.22,34.59,50.83
Prone,0.04,-0.04,-0.93,3.17,-5,-56.82,-3.22,34.59,50.83
Prone,0.03,-0.01,-0.91,-7.51,-3.97,-54.57,-3.22,34.59,50.83
Prone,0,-0.01,-0.94,-12.51,-0.73,-52.55,-3.22,34.59,50.83
Prone,0,0,-0.96,-14.71,1.59,-52.49,-4.72,34.4,51.46
Prone,0,-0.01,-0.97,-11.35,0.12,-53.71,-4.72,34.4,51.46
Prone,0.01,-0.03,-0.97,-10.5,-0.79,-54.99,-4.72,34.4,51.46
Prone,0.04,-0.06,-0.99,-12.76,-0.73,-55.97,-4.72,34.4,51.46
Prone,0.08,-0.09,-1.01,-17.33,-0.43,-56.09,-5.14,34.91,51.97
Prone,0.12,-0.1,-1.06,-20.87,-2.75,-51.45,-5.14,34.91,51.97
Prone,0.09,-0.08,-1.06,-10.5,-5.74,-44.43,-5.14,34.91,51.97
Prone,0.07,-0.07,-1.05,-3.6,-5.55,-41.08,-5.14,34.91,51.97
Prone,0.01,-0.06,-0.97,10.62,-5.25,-36.25,-6.27,34.53,51.61
Prone,0.02,-0.09,-0.94,-6.9,2.99,-53.65,-8.91,33.42,52.29
Prone,-0.01,-0.11,-0.91,-17.7,6.84,-53.77,-8.91,33.42,52.29
Prone,0,-0.11,-0.92,-27.95,11.17,-54.38,-10.57,34.22,52.75
Prone,0,-0.11,-0.94,-38.94,14.34,-54.93,-10.57,34.22,52.75
Prone,0.08,-0.15,-1.05,-50.17,12.51,-48.28,-10.57,34.22,52.75
Prone,0.07,-0.16,-1.09,-48.03,8.42,-48.28,-10.57,34.22,52.75
Prone,0.05,-0.17,-1.08,-41.63,7.45,-44.49,-12.23,35.52,51.92
Prone,0.05,-0.17,-1.09,-33.63,9.4,-41.93,-12.23,35.52,51.92
Prone,0.06,-0.14,-1.12,-25.02,9.58,-39.92,-12.23,35.52,51.92
Prone,0.04,-0.12,-1.1,-14.1,5.55,-37.78,-12.23,35.52,51.92
Prone,0.01,-0.11,-1.06,-4.15,1.34,-36.01,-12.23,35.52,51.92
Prone,-0.02,-0.11,-1.05,5.43,2.62,-34,-12.23,35.52,51.92
Prone,-0.01,-0.11,-1.06,7.69,6.41,-33.39,-13.07,35.06,52.37
Prone,0.01,-0.11,-1.05,9.83,9.52,-32.65,-13.07,35.06,52.37
Prone,0.04,-0.18,-0.98,5.62,13.49,-26.86,-13.07,35.06,52.37
Prone,0.04,-0.18,-1.03,-0.37,8.85,-22.4,-14.55,34.5,51.18
Prone,0.04,-0.13,-0.97,-4.15,4.33,-9.28,-14.55,34.5,51.18
Prone,0.01,-0.14,-1.04,-14.53,-1.16,14.04,-14.43,35.41,52.36
Prone,0.01,-0.17,-1.04,-1.59,10.8,9.95,-14.23,36.27,51.93
Prone,0.01,-0.17,-0.99,12.33,8.36,3.91,-14.23,36.27,51.93
Prone,0.03,-0.14,-0.97,15.14,6.04,-1.53,-14.23,36.27,51.93
Prone,0.04,-0.14,-0.96,12.45,6.23,-3.91,-14.56,36.08,51.62
Prone,0.02,-0.16,-1.06,14.16,-11.35,-15.01,-14.95,35.4,52.31
Prone,0.01,-0.13,-1.08,8.18,-3.48,-17.52,-14.95,35.4,52.31
Prone,0.03,-0.11,-1.06,8.54,4.27,-17.64,-14.95,35.4,52.31
Prone,0.06,-0.15,-0.99,11.66,10.68,-21.12,-14.95,35.4,52.31
Prone,0,-0.11,-0.99,-5.49,-1.28,-28.38,-14.6,35.1,51.55
Prone,-0.06,-0.15,-1.03,-2.44,6.65,-36.56,-17.46,32.17,51.32
Prone,-0.06,-0.15,-1.02,-2.44,6.65,-37.11,-17.46,31.46,51.53
Prone,-0.12,-0.12,-1,-5.68,0.43,-31.25,-18.66,30.52,49.48
Prone,-0.1,-0.15,-0.99,-3.11,2.56,-27.89,-18.66,30.33,49.55
Prone,-0.1,-0.14,-0.98,-2.32,2.87,-31.31,-18.37,29.66,48.54
Prone,-0.1,-0.13,-0.98,-2.01,3.72,-32.65,-18.37,29.66,48.54
Prone,-0.11,-0.12,-0.96,-1.83,2.56,-32.04,-18.37,29.66,48.54
Prone,-0.11,-0.11,-0.97,-2.08,2.01,-29.97,-18.37,29.66,48.54
Prone,-0.12,-0.12,-0.97,-1.1,1.95,-24.72,-19.27,29.43,49.84
Prone,-0.12,-0.14,-0.97,-1.04,1.4,-21.97,-19.27,29.43,49.84
Prone,-0.12,-0.2,-0.89,-1.34,-1.22,-21.67,-19.27,29.43,49.84
Prone,-0.1,-0.16,-0.89,-0.67,-21.55,-32.04,-19.27,29.43,49.84
